Cycle, ARC, Entity Type, Entity Uid, Project Code, State, State Age (days), Days over limit, Protrack Link, SB Name(s)
2012.1, EA, MOUS, uid://A002/X5a9a13/X681, 2012.1.01020.S, PartiallyObserved, 822, 642, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5a9a13/X681, Multi-source-b9cont
2012.1, EA, SB, uid://A002/X5eed86/Xb8, 2012.1.00812.S, Ready, 737, 7, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X5eed86/Xb8, SGMC2_B3_12m
2012.1, EA, SB, uid://A002/X5a9a13/X6f4, 2012.1.00584.T, Ready, 760, 30, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X5a9a13/X6f4, Supernova_ToO_upon_a_discovery-b
2012.1, EA, SB, uid://A002/X5a9a13/X6f5, 2012.1.00584.T, Ready, 760, 30, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X5a9a13/X6f5, Supernova_ToO_upon_a_discovery-b
2012.1, EA, SB, uid://A002/X5a9a13/X6f6, 2012.1.00584.T, Ready, 760, 30, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X5a9a13/X6f6, Supernova_ToO_upon_a_discovery-b
2012.1, EA, SB, uid://A002/X5eed86/X18, 2012.1.00374.S, Ready, 763, 33, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X5eed86/X18, IOK-1_Band6
2012.1, EA, SB, uid://A002/X5a9a13/X675, 2012.1.01020.S, Ready, 822, 92, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X5a9a13/X675, Multi-source-b9cont
2012.1, EA, SB, uid://A002/X75fbd6/X29, 2012.1.00335.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X75fbd6/X29, query - Amp Cal
2012.1, EA, SB, uid://A002/X75fbd6/X2a, 2012.1.00335.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X75fbd6/X2a, N55_TP
2012.1, EA, SB, uid://A002/X6444ba/X50, 2012.1.00387.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X6444ba/X50, query - Amp Cal
2012.1, EA, SB, uid://A002/X6444ba/X51, 2012.1.00387.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X6444ba/X51, G33.92+0.11 - Science
2012.1, EA, SB, uid://A002/X684eb5/X4, 2012.1.00271.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X684eb5/X4, TP_Amp-Cal_b3
2012.1, EA, SB, uid://A002/X684eb5/X2, 2012.1.00271.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X684eb5/X2, NGC604_12m_b3
2012.1, EA, SB, uid://A002/X684eb5/X5, 2012.1.00271.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X684eb5/X5, NGC604_TP_b3
